Taxonomy Access Control Lite (tac_lite),7.x-1.2,Disabled
Taxonomy Access Control Lite Create (tac_lite_create),7.x-1.2,Disabled
Actions permissions (VBO) (actions_permissions),7.x-3.4,Not installed
Administration theme (admin_theme),7.x-1.0,Enabled
Fast Permissions Administration (fpa),7.x-2.6,Enabled
Module filter (module_filter),7.x-2.1,Enabled
Bulk Export (bulk_export),7.x-1.14,Not installed
Chaos tools (ctools),7.x-1.14,Enabled
Chaos Tools (CTools) AJAX Example (ctools_ajax_sample),7.x-1.14,Not installed
Chaos Tools (CTools) Plugin Example (ctools_plugin_example),7.x-1.14,Not installed
Custom content panes (ctools_custom_content),7.x-1.14,Not installed
Custom rulesets (ctools_access_ruleset),7.x-1.14,Not installed
Page manager (page_manager),7.x-1.14,Not installed
Stylizer (stylizer),7.x-1.14,Not installed
Term Depth access (term_depth),7.x-1.14,Not installed
Views content panes (views_content),7.x-1.14,Not installed
Context (context),7.x-3.7,Enabled
Context layouts (context_layouts),7.x-3.7,Enabled
Context UI (context_ui),7.x-3.7,Enabled
Islandora Context (islandora_context),7.x,Not installed
Date (date),7.x-2.10,Enabled
Date All Day (date_all_day),7.x-2.10,Enabled
Date API (date_api),7.x-2.10,Enabled
Date Context (date_context),7.x-2.10,Not installed
Date Popup (date_popup),7.x-2.10,Enabled
Date Repeat API (date_repeat),7.x-2.10,Enabled
Date Repeat Field (date_repeat_field),7.x-2.10,Enabled
Date Tools (date_tools),7.x-2.10,Enabled
Date Views (date_views),7.x-2.10,Enabled
Delete content and users (delete_all),7.x-1.1,Enabled
Devel (devel),7.x-1.6,Enabled
Devel generate (devel_generate),7.x-1.6,Not installed
Devel node access (devel_node_access),7.x-1.6,Not installed
Module Builder (module_builder),7.x-2.x-dev,Not installed
Path redirect generate (path_redirect_generate),Not installed
Theme developer (devel_themer),7.x-1.x-dev,Not installed
Digital Grinnell v7 Code (dg7),master,Enabled
Date Migration Example (date_migrate_example),7.x-2.10,Not installed
Features (features),7.x-2.6,Not installed
Feeds (feeds),7.x-2.0-alpha8,Disabled
Feeds Admin UI (feeds_ui),7.x-2.0-alpha8,Not installed
Feeds Import (feeds_import),7.x-2.0-alpha8,Not installed
Feeds News (feeds_news),7.x-2.0-alpha8,Not installed
Email (email),7.x-1.3,Enabled
Field collection (field_collection),7.x-1.0-beta12,Enabled
Field Permissions (field_permissions),7.x-1.0,Enabled
Link (link),7.x-1.4,Enabled
Link icon (linkicon),7.x-1.0,Not installed
simplehtmldom API (simplehtmldom),7.x-1.12,Not installed
Fedora Health Check (FHC) (fhc),Disabled
Fedora Import Control (FIC) (fic),Disabled
Fedora Object Control (FOC) (foc),Disabled
ICG Tuque Fedora Access (icg_tuque),Disabled
Islandora Common Utilities (ICU) (icu),master,Enabled
Islandora Drush Utility (IDU) (idu),master,Enabled
Islandora Health Check (IHC) (ihc),master,Enabled
Image Gallery (image_gallery),7.x-1.x-dev,Not installed
Image Import (image_import),7.x-1.x-dev,Not installed
Image legacy (image_legacy),7.x-1.x-dev,Not installed
ImageMagick Advanced Options (image_im_advanced),7.x-1.x-dev,Not installed
Islandora (islandora),7.x,Enabled
Islandora Book Batch (islandora_book_batch),7.x-dev,Not installed
Islandora Collection Search (islandora_collection_search),7.x,Enabled
Islandora Entities CSV Import (islandora_entities_csv_import),Not installed
Islandora Object Locking (islandora_object_lock),7.x,Disabled
Islandora Object Locking Length (islandora_object_lock_length),Not installed
Islandora Object Locking REST (islandora_object_lock_rest),Not installed
Islandora pdf.js Reader (islandora_pdfjs_reader),7.x,Enabled
Islandora Solr Facet Pages (islandora_solr_facet_pages),7.x,Enabled
Islandora Solr Metadata (islandora_solr_metadata),7.x,Enabled
Islandora Webform (islandora_webform),master,Enabled
Islandora Webform Ingest (islandora_webform_ingest),Enabled
Islandora XML Form API (xml_form_api),7.x-dev,Enabled
Islandora XML Form Elements (xml_form_elements),7.x-dev,Enabled
Islandora XML Schema API (xml_schema_api),7.x-dev,Enabled
Objective Forms (objective_forms),7.x,Enabled
PHP Lib (php_lib),7.x,Enabled
Islandora Solr (islandora_solr),7.x,Enabled
Islandora Solr display profiles (islandora_solr_config),7.x-dev,Enabled
Islandora Solr Views (islandora_solr_views),7.x,Enabled
Bibutils (bibutils),7.x-dev,Enabled
Citation Exporter (citation_exporter),7.x-dev,Not installed
Citeproc (citeproc),7.x-dev,Enabled
DOI Importer (doi_importer),7.x-dev,Not installed
DOI Populator (doi_populator),7.x-dev,Not installed
EndNote XML Populator (endnotexml_populator),7.x-dev,Not installed
EndNoteXML Importer (endnotexml_importer),7.x-dev,Not installed
Islandora Audio (islandora_audio),7.x,Enabled
Islandora basic collection (islandora_basic_collection),7.x-ISLANDORA-1371,Enabled
Islandora basic image (islandora_basic_image),7.x,Enabled
Islandora Bibliography (islandora_bibliography),7.x-dev,Disabled
Islandora Book Solution Pack (islandora_book),7.x,Enabled
Islandora compound object (islandora_compound_object),Enabled
Islandora Disk Image Solution Pack (islandora_disk_image),7.x-dev,Not installed
Islandora DOI (islandora_doi),7.x-dev,Not installed
Islandora EndNote XML (islandora_endnotexml),7.x-dev,Not installed
Islandora Entities (islandora_entities),Enabled
Islandora example simple text (islandora_example_simple_text),7.x-dev,Enabled
Islandora Google Scholar (islandora_google_scholar),7.x-dev,Enabled
Islandora Large Image Solution Pack (islandora_large_image),7.x,Enabled
Islandora newspaper (islandora_newspaper),7.x-dev,Not installed
Islandora Oral Histories Solution Pack (islandora_oralhistories),Issue-#94,Enabled
Islandora Paged Content (islandora_paged_content),7.x,Enabled
Islandora PDF (islandora_pdf),7.x,Enabled
Islandora PMID (islandora_pmid),7.x-dev,Not installed
Islandora RIS (islandora_ris),7.x-dev,Not installed
Islandora Scholar (islandora_scholar),7.x,Enabled
Islandora Scholar Embargo (islandora_scholar_embargo),7.x-dev,Not installed
Islandora Video Solution Pack (islandora_video),7.x,Enabled
Islandora Web ARChive Solution Pack (islandora_web_archive),7.x,Enabled
PMID Populator (pmid_populator),7.x-dev,Not installed
Pubmed Importer (pmid_importer),7.x-dev,Not installed
RIS Importer (ris_importer),7.x-dev,Not installed
RIS Populator (ris_populator),7.x-dev,Not installed
CSL (csl),7.x-dev,Enabled
Islandora BagIt (islandora_bagit),7.x,Disabled
Islandora Batch (islandora_batch),7.x-dev,Not installed
Islandora Batch Importer (islandora_importer),7.x-dev,Not installed
Islandora Batch Report (islandora_batch_report),7.x-dev,Not installed
Islandora Binary Object Storage (islandora_binary_object),7.x,Enabled
Islandora Bookmark (islandora_bookmark),7.x,Enabled
Islandora Bookmark CSV Exports (islandora_bookmark_csv_exports),7.x-dev,Not installed
Islandora Checksum (islandora_checksum),7.x-dev,Not installed
Islandora Checksum Checker (islandora_checksum_checker),7.x-dev,Not installed
Islandora Feeds (islandora_feeds),7.x,Disabled
Islandora Feeds Derivs (islandora_feeds_derivs),7.x-dev,Not installed
Islandora FITS (islandora_fits),7.x,Enabled
Islandora Image Annotation (islandora_image_annotation),Not installed
Islandora MARCXML (islandora_marcxml),7.x-dev,Not installed
Islandora OAI Provider (islandora_oai),7.x,Enabled
Islandora OCR (islandora_ocr),7.x,Enabled
Islandora pathauto (islandora_pathauto),7.x-dev,Not installed
Islandora PREMIS (islandora_premis),7.x-dev,Not installed
Islandora Simple Workflow (islandora_simple_workflow),7.x-dev,Not installed
Islandora Solr Collection Search (islandora_solr_collection_search),Enabled
Islandora Solr Collection View (islandora_solr_collection_view),7.x,Enabled
Islandora Sync (islandora_sync),7.x,Disabled
Islandora Xacml Api (islandora_xacml_api),7.x-dev,Enabled
Islandora XACML Editor (islandora_xacml_editor),7.x,Enabled
Islandora XML Form Builder (xml_form_builder),7.x-dev,Enabled
Islandora XML Forms (xml_forms),7.x-dev,Enabled
Islandora XML sitemap (islandora_xmlsitemap),7.x-dev,Not installed
Islandora XQuery (islandora_xquery),7.x,Disabled
Zip File Importer (zip_importer),7.x-dev,Not installed
Islandora Internet Archive BookReader (islandora_internet_archive_bookreader),7.x-1.5,Enabled
Islandora JW Player (islandora_jwplayer),7.x,Enabled
Islandora OpenSeadragon (islandora_openseadragon),7.x,Enabled
Islandora pdf.js (islandora_pdfjs),7.x-dev,Not installed
LDAP Authentication (ldap_authentication),7.x-2.3,Enabled
LDAP Authorization (ldap_authorization),7.x-2.3,Enabled
LDAP Authorization - Drupal Roles (ldap_authorization_drupal_role),7.x-2.3,Enabled
LDAP Authorization - OG (Organic Groups) (ldap_authorization_og),7.x-2.3,Not installed
LDAP Feeds (ldap_feeds),7.x-2.3,Not installed
LDAP Help (ldap_help),7.x-2.3,Enabled
LDAP Query (ldap_query),7.x-2.3,Enabled
LDAP Servers (ldap_servers),7.x-2.3,Enabled
LDAP Test Module (ldap_test),7.x-2.3,Enabled
LDAP User Module (ldap_user),7.x-2.3,Enabled
LDAP Views (ldap_views),7.x-2.3,Enabled
Maillog / Mail Developer (maillog),7.x-1.0-alpha1,Enabled
PHPMailer (phpmailer),7.x-3.0-beta4,Enabled
IMCE (imce),7.x-1.11,Enabled
Drupal-to-Drupal migration (migrate_d2d),7.x-2.1,Enabled
Drupal-to-Drupal migration UI (migrate_d2d_ui),7.x-2.1,Not installed
Migrate (migrate),7.x-2.9,Enabled
Migrate Example (migrate_example),7.x-2.9,Not installed
Migrate example - Oracle (migrate_example_oracle),7.x-2.9,Not installed
Migrate UI (migrate_ui),7.x-2.9,Not installed
Migrate Webform (migrate_webform),7.x-1.1,Enabled
migrate_example_baseball (migrate_example_baseball),7.x-2.9,Not installed
Advanced help (advanced_help),7.x-1.4,Enabled
Advanced help example (help_example),7.x-1.4,Not installed
Announcements (announcements),7.x-1.x-dev,Enabled
Backup and Migrate (backup_migrate),7.x-3.2,Disabled
Colorbox (colorbox),7.x-2.13,Enabled
Digital Grinnell Handle System (dg_handle),Not installed
Digital Grinnell SEO (dg_seo),Not installed
Digital Grinnell Utilities (dg_utilities),Not installed
Entity API (entity),7.x-1.9,Enabled
Entity tokens (entity_token),7.x-1.9,Enabled
Frequently Asked Questions (faq),7.x-1.1,Enabled
Git Deploy (git_deploy),7.x-1.x-dev,Enabled
Image Migrate (image_migrate),7.x-1.x-dev,Not installed
Image Migrate Example (image_migrate_example),7.x-1.x-dev,Not installed
ImageMagick (imagemagick),7.x-1.0,Enabled
ImageMagick Advanced (imagemagick_advanced),7.x-1.0,Enabled
Islandora Sync Field Collection (islandora_sync_field_collection),Disabled
Islandora Sync Relation (islandora_sync_relation),Disabled
Job Scheduler (job_scheduler),7.x-2.0-alpha3,Disabled
Job Scheduler Trigger (job_scheduler_trigger),7.x-2.0-alpha3,Not installed
JW Player (jw_player),7.x-2.0-beta2,Enabled
Libraries (libraries),7.x-2.3,Enabled
Login Destination (login_destination),7.x-1.4,Enabled
Masquerade (masquerade),7.x-1.0-rc7,Enabled
Node clone (clone),7.x-1.0,Enabled
Path redirect (path_redirect),master,Disabled
Pathauto (pathauto),7.x-1.3,Enabled
PHPExcel (phpexcel),7.x-3.11,Enabled
Redirect 403 to User Login (r4032login),7.x-1.8,Enabled
Remove Generator (remove_generator),7.x-1.4,Enabled
Session Cache API (session_cache),7.x-1.6,Enabled
Session Cache File (session_cache_file),7.x-1.6,Not installed
Taxonomy Access Control (taxonomy_access),7.x-1.0,Not installed
Taxonomy Permissions (taxonomy_permissions),7.x-1.0,Disabled
Token (token),7.x-1.7,Enabled
Token Filter (token_filter),7.x-1.1,Enabled
Transliteration (transliteration),7.x-3.2,Enabled
URL Redirect (url_redirect),7.x-1.2,Disabled
Global Redirect (globalredirect),7.x-1.6,Enabled
Memcache (memcache),7.x-1.6,Disabled
Memcache Admin (memcache_admin),7.x-1.6,Enabled
Transcripts UI (transcripts_ui),Enabled
Relation (relation),7.x-1.2,Enabled
Relation Dummy Field (relation_dummy_field),7.x-1.2,Not installed
Relation Endpoints Field (relation_endpoint),7.x-1.2,Enabled
Relation Entity Collector block (relation_entity_collector),7.x-1.2,Not installed
Relation feeds (relation_feeds),7.x-1.2,Not installed
Relation migrate (relation_migrate),7.x-1.2,Not installed
Relation UI (relation_ui),7.x-1.2,Not installed
Page Title (page_title),7.x-2.7,Enabled
Google Analytics (googleanalytics),7.x-2.4,Enabled
Google Analytics Counter (google_analytics_counter),7.x-3.3,Enabled
Google Analytics Reports (google_analytics_reports),7.x-3.1,Enabled
Google Analytics Reports API (google_analytics_reports_api),7.x-3.1,Enabled
Islandora Mods Display Changes (islandora_mods_display),master,Enabled
Add another (addanother),7.x-2.2,Enabled
CKEditor (ckeditor),7.x-1.18,Enabled
jQuery Update (jquery_update),7.x-2.7,Enabled
Wysiwyg (wysiwyg),7.x-2.2,Not installed
Views (views),7.x-3.20,Enabled
Views Bootstrap (views_bootstrap),7.x-3.2,Enabled
Views Bulk Operations (views_bulk_operations),7.x-3.4,Enabled
Views UI (views_ui),7.x-3.20,Enabled
Webform (webform),7.x-4.17,Enabled
Webform AJAX (webform_ajax),7.x-1.1,Not installed
XML sitemap (xmlsitemap),7.x-2.3,Enabled
XML sitemap custom (xmlsitemap_custom),7.x-2.3,Not installed
XML sitemap engines (xmlsitemap_engines),7.x-2.3,Not installed
XML sitemap internationalization (xmlsitemap_i18n),7.x-2.3,Not installed
XML sitemap menu (xmlsitemap_menu),7.x-2.3,Not installed
XML sitemap node (xmlsitemap_node),7.x-2.3,Not installed
XML sitemap taxonomy (xmlsitemap_taxonomy),7.x-2.3,Not installed
XML sitemap user (xmlsitemap_user),7.x-2.3,Not installed
Bootstrap (bootstrap),7.x-3.20,Enabled
Digital_Grinnell (Digital_Grinnell),master,Enabled
Multipurpose Theme (multipurpose),7.x-1.0,Disabled
Nexus Theme (nexus),7.x-1.3,Disabled
Zen (zen),7.x-5.5,Disabled
